"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"182","Blake Corum","LAR","8","RB58","171","","213","199.3"
"221","New England Patriots","DST","14","DST10","172","","244","216.3"
"140","Luther Burden III","CHI","5","WR55","173","","156","147.3"
"141","Trey Benson","ARI","8","RB47","174","","135","147.5"
"142","Ray Davis","BUF","7","RB48","175","","137","147.8"
"119","Darnell Mooney","ATL","5","WR50","176","","121","122.5"
"158","Rico Dowdle","CAR","14","RB52","177","","147","166.5"
"152","Kyle Pitts","ATL","5","TE17","178","","141","157.5"
"147","Rashod Bateman","BAL","7","WR58","179","","175","150.8"
"148","Marquise Brown","KC","10","WR59","180","","150","151.0"
"156","Tyler Allgeier","ATL","5","RB51","181","","146","160.3"
"133","Trevor Lawrence","JAC","8","QB20","182","","134","140.8"
"122","Michael Pittman Jr.","IND","11","WR51","183","","114","124.8"
"161","Braelon Allen","NYJ","9","RB54","184","","144","167.3"
"168","Jalen McMillan","TB","9","WR65","185","","192","174.8"
"155","Isaiah Likely","BAL","7","TE18","186","","154","160.0"
"139","Rashid Shaheed","NO","11","WR54","187","","159","145.0"
"234","Chicago Bears","DST","5","DST15","188","","272","226.3"
"166","Jerome Ford","CLE","9","RB55","189","","143","173.3"
"228","Tampa Bay Buccaneers","DST","9","DST13","190","","243","220.0"
"162","Jack Bech","LV","8","WR62","191","","145","172.0"
"144","Marvin Mims Jr.","DEN","12","WR56","192","","142","148.8"
"136","Jayden Higgins","HOU","6","WR53","193","","133","142.5"
"280","Miami Dolphins","DST","12","DST25","194","","","235.5"
"145","Christian Kirk","HOU","6","WR57","195","","157","150.0"
"163","Zach Ertz","WAS","12","TE19","196","","160","172.3"
"164","Kyle Williams","NE","14","WR63","197","","178","172.5"
"259","Jason Sanders","MIA","12","K11","198","","230","214.0"
"226","San Francisco 49ers","DST","14","DST12","199","","248","218.7"
"276","Cincinnati Bengals","DST","10","DST23","200","","305","259.0"
"150","Tre Harris","LAC","12","WR60","201","","139","151.8"
"178","Pat Freiermuth","PIT","5","TE24","202","","173","194.8"
"274","Jake Elliott","PHI","9","K13","203","","249","226.0"
"174","Roschon Johnson","CHI","5","RB56","204","","186","184.0"
"291","Jake Moody","SF","14","K19","205","","279","242.0"
"287","Joshua Karty","LAR","8","K17","206","","273","239.5"
"281","Younghoe Koo","ATL","5","K14","207","","264","235.5"
"282","Tyler Bass","BUF","7","K15","208","","265","236.5"
"165","Hunter Henry","NE","14","TE20","209","","152","172.5"
"222","Dallas Cowboys","DST","10","DST11","210","","229","216.7"
